"geoid","region_type","year","measure","value","measure_type"
"51001","county","2021","prevent_hosp_rate",4036,"rate per 100k"
"51003","county","2021","prevent_hosp_rate",3533,"rate per 100k"
"51005","county","2021","prevent_hosp_rate",9113,"rate per 100k"
"51007","county","2021","prevent_hosp_rate",5286,"rate per 100k"
"51009","county","2021","prevent_hosp_rate",4404,"rate per 100k"
"51011","county","2021","prevent_hosp_rate",4816,"rate per 100k"
"51013","county","2021","prevent_hosp_rate",2804,"rate per 100k"
"51015","county","2021","prevent_hosp_rate",4113,"rate per 100k"
"51017","county","2021","prevent_hosp_rate",6972,"rate per 100k"
"51019","county","2021","prevent_hosp_rate",NA,"rate per 100k"
"51021","county","2021","prevent_hosp_rate",3689,"rate per 100k"
"51023","county","2021","prevent_hosp_rate",3639,"rate per 100k"
"51025","county","2021","prevent_hosp_rate",5174,"rate per 100k"
"51027","county","2021","prevent_hosp_rate",7599,"rate per 100k"
"51029","county","2021","prevent_hosp_rate",5710,"rate per 100k"
"51031","county","2021","prevent_hosp_rate",3918,"rate per 100k"
"51033","county","2021","prevent_hosp_rate",5181,"rate per 100k"
"51035","county","2021","prevent_hosp_rate",4458,"rate per 100k"
"51036","county","2021","prevent_hosp_rate",4449,"rate per 100k"
"51037","county","2021","prevent_hosp_rate",4941,"rate per 100k"
"51041","county","2021","prevent_hosp_rate",3516,"rate per 100k"
"51043","county","2021","prevent_hosp_rate",5111,"rate per 100k"
"51045","county","2021","prevent_hosp_rate",4523,"rate per 100k"
"51047","county","2021","prevent_hosp_rate",4609,"rate per 100k"
"51049","county","2021","prevent_hosp_rate",5139,"rate per 100k"
"51051","county","2021","prevent_hosp_rate",5433,"rate per 100k"
"51053","county","2021","prevent_hosp_rate",6277,"rate per 100k"
"51057","county","2021","prevent_hosp_rate",4083,"rate per 100k"
"51059","county","2021","prevent_hosp_rate",2829,"rate per 100k"
"51061","county","2021","prevent_hosp_rate",5501,"rate per 100k"
"51063","county","2021","prevent_hosp_rate",3463,"rate per 100k"
"51065","county","2021","prevent_hosp_rate",3602,"rate per 100k"
"51067","county","2021","prevent_hosp_rate",3578,"rate per 100k"
"51069","county","2021","prevent_hosp_rate",5313,"rate per 100k"
"51071","county","2021","prevent_hosp_rate",4840,"rate per 100k"
"51073","county","2021","prevent_hosp_rate",3481,"rate per 100k"
"51075","county","2021","prevent_hosp_rate",2630,"rate per 100k"
"51077","county","2021","prevent_hosp_rate",3969,"rate per 100k"
"51079","county","2021","prevent_hosp_rate",5212,"rate per 100k"
"51081","county","2021","prevent_hosp_rate",5301,"rate per 100k"
"51083","county","2021","prevent_hosp_rate",4612,"rate per 100k"
"51085","county","2021","prevent_hosp_rate",3698,"rate per 100k"
"51087","county","2021","prevent_hosp_rate",3241,"rate per 100k"
"51089","county","2021","prevent_hosp_rate",5934,"rate per 100k"
"51091","county","2021","prevent_hosp_rate",5747,"rate per 100k"
"51093","county","2021","prevent_hosp_rate",4184,"rate per 100k"
"51095","county","2021","prevent_hosp_rate",4429,"rate per 100k"
"51097","county","2021","prevent_hosp_rate",4524,"rate per 100k"
"51099","county","2021","prevent_hosp_rate",6327,"rate per 100k"
"51101","county","2021","prevent_hosp_rate",4017,"rate per 100k"
"51103","county","2021","prevent_hosp_rate",2468,"rate per 100k"
"51105","county","2021","prevent_hosp_rate",5443,"rate per 100k"
"51107","county","2021","prevent_hosp_rate",3545,"rate per 100k"
"51109","county","2021","prevent_hosp_rate",4229,"rate per 100k"
"51111","county","2021","prevent_hosp_rate",4797,"rate per 100k"
"51113","county","2021","prevent_hosp_rate",4509,"rate per 100k"
"51115","county","2021","prevent_hosp_rate",3053,"rate per 100k"
"51117","county","2021","prevent_hosp_rate",4513,"rate per 100k"
"51119","county","2021","prevent_hosp_rate",3194,"rate per 100k"
"51121","county","2021","prevent_hosp_rate",3630,"rate per 100k"
"51125","county","2021","prevent_hosp_rate",4120,"rate per 100k"
"51127","county","2021","prevent_hosp_rate",3692,"rate per 100k"
"51131","county","2021","prevent_hosp_rate",3455,"rate per 100k"
"51133","county","2021","prevent_hosp_rate",3259,"rate per 100k"
"51135","county","2021","prevent_hosp_rate",5522,"rate per 100k"
"51137","county","2021","prevent_hosp_rate",4760,"rate per 100k"
"51139","county","2021","prevent_hosp_rate",4834,"rate per 100k"
"51141","county","2021","prevent_hosp_rate",4064,"rate per 100k"
"51143","county","2021","prevent_hosp_rate",4002,"rate per 100k"
"51145","county","2021","prevent_hosp_rate",3913,"rate per 100k"
"51147","county","2021","prevent_hosp_rate",4985,"rate per 100k"
"51149","county","2021","prevent_hosp_rate",3948,"rate per 100k"
"51153","county","2021","prevent_hosp_rate",4709,"rate per 100k"
"51155","county","2021","prevent_hosp_rate",5427,"rate per 100k"
"51157","county","2021","prevent_hosp_rate",2797,"rate per 100k"
"51159","county","2021","prevent_hosp_rate",4104,"rate per 100k"
"51161","county","2021","prevent_hosp_rate",3639,"rate per 100k"
"51163","county","2021","prevent_hosp_rate",4296,"rate per 100k"
"51165","county","2021","prevent_hosp_rate",6009,"rate per 100k"
"51167","county","2021","prevent_hosp_rate",7080,"rate per 100k"
"51169","county","2021","prevent_hosp_rate",4733,"rate per 100k"
"51171","county","2021","prevent_hosp_rate",5088,"rate per 100k"
"51173","county","2021","prevent_hosp_rate",4663,"rate per 100k"
"51175","county","2021","prevent_hosp_rate",6633,"rate per 100k"
"51177","county","2021","prevent_hosp_rate",6155,"rate per 100k"
"51179","county","2021","prevent_hosp_rate",6231,"rate per 100k"
"51181","county","2021","prevent_hosp_rate",3580,"rate per 100k"
"51183","county","2021","prevent_hosp_rate",5909,"rate per 100k"
"51185","county","2021","prevent_hosp_rate",5937,"rate per 100k"
"51187","county","2021","prevent_hosp_rate",4966,"rate per 100k"
"51191","county","2021","prevent_hosp_rate",4294,"rate per 100k"
"51193","county","2021","prevent_hosp_rate",4888,"rate per 100k"
"51195","county","2021","prevent_hosp_rate",4990,"rate per 100k"
"51197","county","2021","prevent_hosp_rate",4820,"rate per 100k"
"51199","county","2021","prevent_hosp_rate",3575,"rate per 100k"
"51510","county","2021","prevent_hosp_rate",4009,"rate per 100k"
"51520","county","2021","prevent_hosp_rate",6827,"rate per 100k"
"51530","county","2021","prevent_hosp_rate",4980,"rate per 100k"
"51540","county","2021","prevent_hosp_rate",3556,"rate per 100k"
"51550","county","2021","prevent_hosp_rate",4769,"rate per 100k"
"51570","county","2021","prevent_hosp_rate",5700,"rate per 100k"
"51580","county","2021","prevent_hosp_rate",4687,"rate per 100k"
"51590","county","2021","prevent_hosp_rate",5149,"rate per 100k"
"51595","county","2021","prevent_hosp_rate",5535,"rate per 100k"
"51600","county","2021","prevent_hosp_rate",2610,"rate per 100k"
"51610","county","2021","prevent_hosp_rate",2091,"rate per 100k"
"51620","county","2021","prevent_hosp_rate",5773,"rate per 100k"
"51630","county","2021","prevent_hosp_rate",6769,"rate per 100k"
"51640","county","2021","prevent_hosp_rate",3909,"rate per 100k"
"51650","county","2021","prevent_hosp_rate",4354,"rate per 100k"
"51660","county","2021","prevent_hosp_rate",4753,"rate per 100k"
"51670","county","2021","prevent_hosp_rate",6199,"rate per 100k"
"51678","county","2021","prevent_hosp_rate",3171,"rate per 100k"
"51680","county","2021","prevent_hosp_rate",4156,"rate per 100k"
"51683","county","2021","prevent_hosp_rate",4114,"rate per 100k"
"51685","county","2021","prevent_hosp_rate",NA,"rate per 100k"
"51690","county","2021","prevent_hosp_rate",6149,"rate per 100k"
"51700","county","2021","prevent_hosp_rate",4362,"rate per 100k"
"51710","county","2021","prevent_hosp_rate",5148,"rate per 100k"
"51720","county","2021","prevent_hosp_rate",6767,"rate per 100k"
"51730","county","2021","prevent_hosp_rate",6476,"rate per 100k"
"51735","county","2021","prevent_hosp_rate",4050,"rate per 100k"
"51740","county","2021","prevent_hosp_rate",4717,"rate per 100k"
"51750","county","2021","prevent_hosp_rate",4707,"rate per 100k"
"51760","county","2021","prevent_hosp_rate",4529,"rate per 100k"
"51770","county","2021","prevent_hosp_rate",4492,"rate per 100k"
"51775","county","2021","prevent_hosp_rate",3975,"rate per 100k"
"51790","county","2021","prevent_hosp_rate",4153,"rate per 100k"
"51800","county","2021","prevent_hosp_rate",5621,"rate per 100k"
"51810","county","2021","prevent_hosp_rate",4487,"rate per 100k"
"51820","county","2021","prevent_hosp_rate",4568,"rate per 100k"
"51830","county","2021","prevent_hosp_rate",3493,"rate per 100k"
"51840","county","2021","prevent_hosp_rate",5079,"rate per 100k"
"51001","county","2020","prevent_hosp_rate",4264,"rate per 100k"
"51003","county","2020","prevent_hosp_rate",3717,"rate per 100k"
"51005","county","2020","prevent_hosp_rate",7221,"rate per 100k"
"51007","county","2020","prevent_hosp_rate",4610,"rate per 100k"
"51009","county","2020","prevent_hosp_rate",5247,"rate per 100k"
"51011","county","2020","prevent_hosp_rate",4541,"rate per 100k"
"51013","county","2020","prevent_hosp_rate",2717,"rate per 100k"
"51015","county","2020","prevent_hosp_rate",4305,"rate per 100k"
"51017","county","2020","prevent_hosp_rate",7214,"rate per 100k"
"51019","county","2020","prevent_hosp_rate",NA,"rate per 100k"
"51021","county","2020","prevent_hosp_rate",4259,"rate per 100k"
"51023","county","2020","prevent_hosp_rate",3423,"rate per 100k"
"51025","county","2020","prevent_hosp_rate",6000,"rate per 100k"
"51027","county","2020","prevent_hosp_rate",10329,"rate per 100k"
"51029","county","2020","prevent_hosp_rate",4426,"rate per 100k"
"51031","county","2020","prevent_hosp_rate",4641,"rate per 100k"
"51033","county","2020","prevent_hosp_rate",5781,"rate per 100k"
"51035","county","2020","prevent_hosp_rate",4375,"rate per 100k"
"51036","county","2020","prevent_hosp_rate",3895,"rate per 100k"
"51037","county","2020","prevent_hosp_rate",4673,"rate per 100k"
"51041","county","2020","prevent_hosp_rate",3931,"rate per 100k"
"51043","county","2020","prevent_hosp_rate",6287,"rate per 100k"
"51045","county","2020","prevent_hosp_rate",5248,"rate per 100k"
"51047","county","2020","prevent_hosp_rate",4630,"rate per 100k"
"51049","county","2020","prevent_hosp_rate",5643,"rate per 100k"
"51051","county","2020","prevent_hosp_rate",5623,"rate per 100k"
"51053","county","2020","prevent_hosp_rate",6840,"rate per 100k"
"51057","county","2020","prevent_hosp_rate",3243,"rate per 100k"
"51059","county","2020","prevent_hosp_rate",3008,"rate per 100k"
"51061","county","2020","prevent_hosp_rate",4405,"rate per 100k"
"51063","county","2020","prevent_hosp_rate",3563,"rate per 100k"
"51065","county","2020","prevent_hosp_rate",3510,"rate per 100k"
"51067","county","2020","prevent_hosp_rate",3535,"rate per 100k"
"51069","county","2020","prevent_hosp_rate",5786,"rate per 100k"
"51071","county","2020","prevent_hosp_rate",3373,"rate per 100k"
"51073","county","2020","prevent_hosp_rate",3752,"rate per 100k"
"51075","county","2020","prevent_hosp_rate",3465,"rate per 100k"
"51077","county","2020","prevent_hosp_rate",3887,"rate per 100k"
"51079","county","2020","prevent_hosp_rate",5643,"rate per 100k"
"51081","county","2020","prevent_hosp_rate",6631,"rate per 100k"
"51083","county","2020","prevent_hosp_rate",4413,"rate per 100k"
"51085","county","2020","prevent_hosp_rate",4325,"rate per 100k"
"51087","county","2020","prevent_hosp_rate",3632,"rate per 100k"
"51089","county","2020","prevent_hosp_rate",5683,"rate per 100k"
"51091","county","2020","prevent_hosp_rate",3563,"rate per 100k"
"51093","county","2020","prevent_hosp_rate",4304,"rate per 100k"
"51095","county","2020","prevent_hosp_rate",4885,"rate per 100k"
"51097","county","2020","prevent_hosp_rate",4265,"rate per 100k"
"51099","county","2020","prevent_hosp_rate",6073,"rate per 100k"
"51101","county","2020","prevent_hosp_rate",4516,"rate per 100k"
"51103","county","2020","prevent_hosp_rate",2905,"rate per 100k"
"51105","county","2020","prevent_hosp_rate",5603,"rate per 100k"
"51107","county","2020","prevent_hosp_rate",4328,"rate per 100k"
"51109","county","2020","prevent_hosp_rate",4798,"rate per 100k"
"51111","county","2020","prevent_hosp_rate",5184,"rate per 100k"
"51113","county","2020","prevent_hosp_rate",4771,"rate per 100k"
"51115","county","2020","prevent_hosp_rate",2707,"rate per 100k"
"51117","county","2020","prevent_hosp_rate",5150,"rate per 100k"
"51119","county","2020","prevent_hosp_rate",4067,"rate per 100k"
"51121","county","2020","prevent_hosp_rate",3553,"rate per 100k"
"51125","county","2020","prevent_hosp_rate",3879,"rate per 100k"
"51127","county","2020","prevent_hosp_rate",3929,"rate per 100k"
"51131","county","2020","prevent_hosp_rate",4093,"rate per 100k"
"51133","county","2020","prevent_hosp_rate",2762,"rate per 100k"
"51135","county","2020","prevent_hosp_rate",5519,"rate per 100k"
"51137","county","2020","prevent_hosp_rate",4303,"rate per 100k"
"51139","county","2020","prevent_hosp_rate",5237,"rate per 100k"
"51141","county","2020","prevent_hosp_rate",4466,"rate per 100k"
"51143","county","2020","prevent_hosp_rate",3750,"rate per 100k"
"51145","county","2020","prevent_hosp_rate",3720,"rate per 100k"
"51147","county","2020","prevent_hosp_rate",5284,"rate per 100k"
"51149","county","2020","prevent_hosp_rate",6073,"rate per 100k"
"51153","county","2020","prevent_hosp_rate",5131,"rate per 100k"
"51155","county","2020","prevent_hosp_rate",4993,"rate per 100k"
"51157","county","2020","prevent_hosp_rate",4669,"rate per 100k"
"51159","county","2020","prevent_hosp_rate",4930,"rate per 100k"
"51161","county","2020","prevent_hosp_rate",3544,"rate per 100k"
"51163","county","2020","prevent_hosp_rate",3572,"rate per 100k"
"51165","county","2020","prevent_hosp_rate",5730,"rate per 100k"
"51167","county","2020","prevent_hosp_rate",8220,"rate per 100k"
"51169","county","2020","prevent_hosp_rate",4998,"rate per 100k"
"51171","county","2020","prevent_hosp_rate",5688,"rate per 100k"
"51173","county","2020","prevent_hosp_rate",5522,"rate per 100k"
"51175","county","2020","prevent_hosp_rate",5552,"rate per 100k"
"51177","county","2020","prevent_hosp_rate",6469,"rate per 100k"
"51179","county","2020","prevent_hosp_rate",5741,"rate per 100k"
"51181","county","2020","prevent_hosp_rate",3508,"rate per 100k"
"51183","county","2020","prevent_hosp_rate",6863,"rate per 100k"
"51185","county","2020","prevent_hosp_rate",6434,"rate per 100k"
"51187","county","2020","prevent_hosp_rate",5497,"rate per 100k"
"51191","county","2020","prevent_hosp_rate",6122,"rate per 100k"
"51193","county","2020","prevent_hosp_rate",5353,"rate per 100k"
"51195","county","2020","prevent_hosp_rate",5022,"rate per 100k"
"51197","county","2020","prevent_hosp_rate",4710,"rate per 100k"
"51199","county","2020","prevent_hosp_rate",3596,"rate per 100k"
"51510","county","2020","prevent_hosp_rate",4635,"rate per 100k"
"51520","county","2020","prevent_hosp_rate",6689,"rate per 100k"
"51530","county","2020","prevent_hosp_rate",3579,"rate per 100k"
"51540","county","2020","prevent_hosp_rate",3935,"rate per 100k"
"51550","county","2020","prevent_hosp_rate",5010,"rate per 100k"
"51570","county","2020","prevent_hosp_rate",5579,"rate per 100k"
"51580","county","2020","prevent_hosp_rate",5163,"rate per 100k"
"51590","county","2020","prevent_hosp_rate",5475,"rate per 100k"
"51595","county","2020","prevent_hosp_rate",6136,"rate per 100k"
"51600","county","2020","prevent_hosp_rate",2980,"rate per 100k"
"51610","county","2020","prevent_hosp_rate",2793,"rate per 100k"
"51620","county","2020","prevent_hosp_rate",5508,"rate per 100k"
"51630","county","2020","prevent_hosp_rate",5514,"rate per 100k"
"51640","county","2020","prevent_hosp_rate",4160,"rate per 100k"
"51650","county","2020","prevent_hosp_rate",4424,"rate per 100k"
"51660","county","2020","prevent_hosp_rate",4697,"rate per 100k"
"51670","county","2020","prevent_hosp_rate",6536,"rate per 100k"
"51678","county","2020","prevent_hosp_rate",2531,"rate per 100k"
"51680","county","2020","prevent_hosp_rate",4384,"rate per 100k"
"51683","county","2020","prevent_hosp_rate",4412,"rate per 100k"
"51685","county","2020","prevent_hosp_rate",NA,"rate per 100k"
"51690","county","2020","prevent_hosp_rate",6637,"rate per 100k"
"51700","county","2020","prevent_hosp_rate",4689,"rate per 100k"
"51710","county","2020","prevent_hosp_rate",5638,"rate per 100k"
"51720","county","2020","prevent_hosp_rate",6775,"rate per 100k"
"51730","county","2020","prevent_hosp_rate",7055,"rate per 100k"
"51735","county","2020","prevent_hosp_rate",4597,"rate per 100k"
"51740","county","2020","prevent_hosp_rate",5067,"rate per 100k"
"51750","county","2020","prevent_hosp_rate",4136,"rate per 100k"
"51760","county","2020","prevent_hosp_rate",4572,"rate per 100k"
"51770","county","2020","prevent_hosp_rate",4276,"rate per 100k"
"51775","county","2020","prevent_hosp_rate",4067,"rate per 100k"
"51790","county","2020","prevent_hosp_rate",3728,"rate per 100k"
"51800","county","2020","prevent_hosp_rate",5765,"rate per 100k"
"51810","county","2020","prevent_hosp_rate",4637,"rate per 100k"
"51820","county","2020","prevent_hosp_rate",3507,"rate per 100k"
"51830","county","2020","prevent_hosp_rate",4221,"rate per 100k"
"51840","county","2020","prevent_hosp_rate",5099,"rate per 100k"
"51001","county","2019","prevent_hosp_rate",4745,"rate per 100k"
"51003","county","2019","prevent_hosp_rate",2837,"rate per 100k"
"51005","county","2019","prevent_hosp_rate",8763,"rate per 100k"
"51007","county","2019","prevent_hosp_rate",4809,"rate per 100k"
"51009","county","2019","prevent_hosp_rate",4318,"rate per 100k"
"51011","county","2019","prevent_hosp_rate",4471,"rate per 100k"
"51013","county","2019","prevent_hosp_rate",3001,"rate per 100k"
"51015","county","2019","prevent_hosp_rate",4280,"rate per 100k"
"51017","county","2019","prevent_hosp_rate",5590,"rate per 100k"
"51019","county","2019","prevent_hosp_rate",3436,"rate per 100k"
"51021","county","2019","prevent_hosp_rate",3821,"rate per 100k"
"51023","county","2019","prevent_hosp_rate",3375,"rate per 100k"
"51025","county","2019","prevent_hosp_rate",6961,"rate per 100k"
"51027","county","2019","prevent_hosp_rate",10521,"rate per 100k"
"51029","county","2019","prevent_hosp_rate",5416,"rate per 100k"
"51031","county","2019","prevent_hosp_rate",4694,"rate per 100k"
"51033","county","2019","prevent_hosp_rate",4921,"rate per 100k"
"51035","county","2019","prevent_hosp_rate",4305,"rate per 100k"
"51036","county","2019","prevent_hosp_rate",4475,"rate per 100k"
"51037","county","2019","prevent_hosp_rate",4435,"rate per 100k"
"51041","county","2019","prevent_hosp_rate",4032,"rate per 100k"
"51043","county","2019","prevent_hosp_rate",6681,"rate per 100k"
"51045","county","2019","prevent_hosp_rate",3848,"rate per 100k"
"51047","county","2019","prevent_hosp_rate",4627,"rate per 100k"
"51049","county","2019","prevent_hosp_rate",6197,"rate per 100k"
"51051","county","2019","prevent_hosp_rate",5112,"rate per 100k"
"51053","county","2019","prevent_hosp_rate",5965,"rate per 100k"
"51057","county","2019","prevent_hosp_rate",4364,"rate per 100k"
"51059","county","2019","prevent_hosp_rate",3271,"rate per 100k"
"51061","county","2019","prevent_hosp_rate",5056,"rate per 100k"
"51063","county","2019","prevent_hosp_rate",2815,"rate per 100k"
"51065","county","2019","prevent_hosp_rate",3614,"rate per 100k"
"51067","county","2019","prevent_hosp_rate",3945,"rate per 100k"
"51069","county","2019","prevent_hosp_rate",6013,"rate per 100k"
"51071","county","2019","prevent_hosp_rate",3662,"rate per 100k"
"51073","county","2019","prevent_hosp_rate",3971,"rate per 100k"
"51075","county","2019","prevent_hosp_rate",3177,"rate per 100k"
"51077","county","2019","prevent_hosp_rate",4541,"rate per 100k"
"51079","county","2019","prevent_hosp_rate",3249,"rate per 100k"
"51081","county","2019","prevent_hosp_rate",5040,"rate per 100k"
"51083","county","2019","prevent_hosp_rate",4684,"rate per 100k"
"51085","county","2019","prevent_hosp_rate",3704,"rate per 100k"
"51087","county","2019","prevent_hosp_rate",3656,"rate per 100k"
"51089","county","2019","prevent_hosp_rate",5107,"rate per 100k"
"51091","county","2019","prevent_hosp_rate",2110,"rate per 100k"
"51093","county","2019","prevent_hosp_rate",4655,"rate per 100k"
